STATE_ID,BLOCK_ID,hab_num,hab_outside,osm_num,greater,osm_near,osm_far,hab_near,hab_far
12,3266,45,2,3,hab,3,0,3,42
12,2329,46,1,0,hab,0,0,0,46
12,2213,233,1,6,hab,6,0,4,229
12,2279,213,1,1,hab,1,0,1,212
12,2992,198,4,2,hab,2,0,4,194
12,4823,91,0,2,hab,1,1,1,90
12,5877,150,2,7,hab,6,1,8,142
12,6251,121,2,2,hab,2,0,2,119
12,6359,105,3,2,hab,2,0,6,99
12,1574,698,2,2,hab,0,2,0,698
12,7680,227,0,4,hab,3,1,5,222
12,2149,60,0,18,hab,18,0,28,32
12,7681,158,2,1,hab,1,0,1,157
12,7679,179,2,0,hab,0,0,0,179
12,2415,108,3,1,hab,1,0,4,104
12,1965,622,2,1,hab,1,0,3,619
12,5663,43,0,1,hab,1,0,1,42
12,1993,81,0,4,hab,3,1,4,77
12,1615,31,0,0,hab,0,0,0,31
12,3423,41,2,1,hab,1,0,1,40
12,3158,42,0,3,hab,3,0,2,40
12,2479,48,0,2,hab,2,0,2,46
12,4985,86,1,15,hab,10,5,12,74
12,4414,86,0,8,hab,8,0,11,75
12,1942,341,0,1,hab,1,0,5,336
12,7689,81,0,17,hab,16,1,15,66
12,7688,90,0,1,hab,1,0,1,89
12,7693,67,0,1,hab,1,0,1,66
12,7695,53,2,5,hab,4,1,4,49
12,7696,140,4,5,hab,5,0,5,135
12,7694,51,0,2,hab,2,0,2,49
12,7697,58,1,0,hab,0,0,0,58
12,7708,122,0,47,hab,44,3,52,70
12,7704,83,1,27,hab,26,1,30,53
12,7705,51,0,15,hab,14,1,14,37
12,7690,104,1,9,hab,9,0,9,95
12,7691,45,0,2,hab,2,0,2,43
12,3366,92,0,6,hab,6,0,6,86
12,2620,114,1,6,hab,6,0,7,107
12,2519,65,0,23,hab,22,1,19,46
12,2423,125,1,15,hab,12,3,16,109
12,2418,119,2,2,hab,1,1,1,118
12,1618,53,1,10,hab,10,0,9,44
12,6380,88,1,4,hab,4,0,4,84
12,6284,55,0,3,hab,3,0,3,52
12,3838,51,0,4,hab,4,0,4,47
12,3671,74,0,8,hab,6,2,7,67
12,3626,58,0,9,hab,8,1,8,50
12,2540,74,0,3,hab,3,0,5,69
12,844,44,0,2,hab,2,0,2,42
12,3592,67,0,0,hab,0,0,0,67
12,2895,60,0,16,hab,16,0,17,43
12,7706,97,1,32,hab,32,0,37,60
12,7707,54,2,30,hab,27,3,27,27
12,3634,49,0,27,hab,27,0,29,20
12,5334,105,1,5,hab,5,0,5,100
12,6375,92,1,15,hab,15,0,17,75
12,3312,57,3,8,hab,8,0,11,46
12,5078,76,5,2,hab,2,0,3,73
12,4812,80,0,26,hab,23,3,23,57
12,829,75,1,6,hab,5,1,8,67
12,1881,53,0,0,hab,0,0,0,53
12,1941,118,4,0,hab,0,0,0,118
12,3547,160,0,6,hab,6,0,9,151
12,4469,100,0,0,hab,0,0,0,100
12,5617,88,2,1,hab,1,0,2,86
12,5861,126,0,3,hab,2,1,2,124
12,6199,45,1,2,hab,1,1,1,44
12,6272,60,0,0,hab,0,0,0,60
12,39,5,0,2,hab,0,2,0,5
12,669,54,2,2,hab,2,0,2,52
12,1456,139,3,11,hab,8,3,9,130
12,1520,74,0,41,hab,40,1,50,24
12,1555,76,0,33,hab,32,1,33,43
12,1612,87,0,2,hab,2,0,3,84
12,6400,45,0,5,hab,4,1,4,41
12,5458,85,0,3,hab,3,0,2,83
12,3974,59,3,22,hab,19,3,20,39
12,3411,60,0,6,hab,6,0,6,54
12,3349,43,0,13,hab,12,1,12,31
12,7682,246,2,2,hab,2,0,8,238
7,1004,328,0,342,osm,293,49,280,48
7,8033,219,0,255,osm,199,56,194,25
7,6982,191,1,148,hab,113,35,149,42
7,7018,331,0,379,osm,244,135,216,115
7,8031,155,0,190,osm,135,55,129,26
7,656,515,2,189,hab,145,44,404,111
7,6085,134,0,133,hab,128,5,122,12
7,805,183,0,238,osm,191,47,153,30
7,1596,121,0,78,hab,74,4,70,51
7,3659,139,0,135,hab,100,35,93,46
7,4,106,0,100,hab,95,5,98,8
7,3446,157,0,44,hab,38,6,45,112
7,5693,132,0,23,hab,19,4,20,112
7,415,178,0,214,osm,182,32,156,22
7,8032,92,0,100,osm,80,20,78,14
7,221,167,1,165,hab,161,4,157,10
7,7022,270,0,185,hab,182,3,246,24
7,7026,270,0,217,hab,198,19,249,21
7,7023,162,1,149,hab,146,3,157,5
7,5398,234,0,268,osm,250,18,225,9
7,4778,340,1,284,hab,252,32,305,35
7,3523,189,0,198,osm,181,17,175,14
7,647,217,1,255,osm,234,21,209,8
7,373,234,0,272,osm,233,39,227,7
7,4784,498,2,101,hab,93,8,140,358
7,4464,228,0,134,hab,108,26,120,108
7,3135,182,1,126,hab,103,23,104,78
7,2827,119,0,73,hab,48,25,63,56
7,6990,102,0,101,hab,97,4,101,1
7,2796,224,0,161,hab,153,8,186,38
7,7005,120,0,109,hab,104,5,113,7
7,7004,189,0,266,osm,207,59,159,30
7,7003,174,2,171,hab,142,29,150,24
7,7002,142,0,139,hab,130,9,131,11
7,7001,157,0,186,osm,161,25,146,11
7,4080,371,3,99,hab,85,14,110,261
7,3505,128,4,116,hab,109,7,116,12
7,3294,134,3,90,hab,87,3,89,45
7,1550,164,0,128,hab,124,4,145,19
7,5858,226,0,197,hab,180,17,193,33
7,1445,147,1,154,osm,98,56,107,40
7,3755,190,0,191,osm,180,11,172,18
7,3150,251,0,249,hab,210,39,225,26
7,948,250,0,188,hab,175,13,203,47
7,7006,176,0,100,hab,86,14,88,88
7,7009,171,0,17,hab,16,1,24,147
7,7008,123,1,71,hab,54,17,61,62
7,7010,227,0,39,hab,31,8,54,173
7,7021,157,0,2,hab,2,0,5,152
7,7007,118,0,94,hab,85,9,85,33
7,7011,210,0,30,hab,27,3,33,177
7,7012,142,0,166,osm,123,43,103,39
7,7014,101,0,93,hab,72,21,50,51
7,7013,84,0,57,hab,50,7,47,37
7,7017,179,6,86,hab,73,13,73,106
7,6125,227,1,68,hab,60,8,145,82
7,7015,201,5,5,hab,4,1,4,197
7,7016,153,2,122,hab,114,8,120,33
7,6995,153,0,160,osm,155,5,150,3
7,6996,106,0,109,osm,91,18,95,11
7,6998,217,0,249,osm,216,33,209,8
